group_id,component,D_A2_per_ns,source_file
mucin_T00d,mucin,0.11957,diffusion_coefficients_mucins.txt
mucin_T00p,mucin,0.1124,diffusion_coefficients_mucins.txt
mucin_T00e,mucin,0.08723,diffusion_coefficients_mucins.txt
mucin_T00r,mucin,0.06437,diffusion_coefficients_mucins.txt
mucin_T00o,mucin,0.07312,diffusion_coefficients_mucins.txt
mucin_T00n,mucin,0.06078,diffusion_coefficients_mucins.txt
mucin_T00s,mucin,0.0856,diffusion_coefficients_mucins.txt
mucin_T00w,mucin,0.12223,diffusion_coefficients_mucins.txt
mucin_T00y,mucin,0.05443,diffusion_coefficients_mucins.txt
mucin_T00z,mucin,0.07989,diffusion_coefficients_mucins.txt
mucin_T010,mucin,0.04114,diffusion_coefficients_mucins.txt
mucin_T012,mucin,0.08347,diffusion_coefficients_mucins.txt
mucin_T00t,mucin,0.17103,diffusion_coefficients_mucins.txt
mucin_T013,mucin,0.07888,diffusion_coefficients_mucins.txt
mucin_T00v,mucin,0.05699,diffusion_coefficients_mucins.txt
mucin_T017,mucin,0.09504,diffusion_coefficients_mucins.txt
mucin_T018,mucin,0.08279,diffusion_coefficients_mucins.txt
mucin_T015,mucin,0.06872,diffusion_coefficients_mucins.txt
mucin_T014,mucin,0.06974,diffusion_coefficients_mucins.txt
mucin_T016,mucin,0.04175,diffusion_coefficients_mucins.txt
mucin_T00x,mucin,0.05167,diffusion_coefficients_mucins.txt
mucin_T01c,mucin,0.09279,diffusion_coefficients_mucins.txt
mucin_T01a,mucin,0.08966,diffusion_coefficients_mucins.txt
mucin_T01g,mucin,0.09811,diffusion_coefficients_mucins.txt
mucin_T01b,mucin,0.06934,diffusion_coefficients_mucins.txt
mucin_T01k,mucin,0.06918,diffusion_coefficients_mucins.txt
mucin_T01l,mucin,0.07531,diffusion_coefficients_mucins.txt
mucin_T01h,mucin,0.13121,diffusion_coefficients_mucins.txt
mucin_T01m,mucin,0.11692,diffusion_coefficients_mucins.txt
mucin_T01j,mucin,0.10615,diffusion_coefficients_mucins.txt
mucin_T01d,mucin,0.08984,diffusion_coefficients_mucins.txt
mucin_T01e,mucin,0.07084,diffusion_coefficients_mucins.txt
mucin_T01i,mucin,0.08125,diffusion_coefficients_mucins.txt
mucin_T01n,mucin,0.04248,diffusion_coefficients_mucins.txt
mucin_T01o,mucin,0.10784,diffusion_coefficients_mucins.txt
mucin_T01q,mucin,0.09243,diffusion_coefficients_mucins.txt
mucin_T01s,mucin,0.09422,diffusion_coefficients_mucins.txt
mucin_T01p,mucin,0.06987,diffusion_coefficients_mucins.txt
mucin_T01r,mucin,0.09822,diffusion_coefficients_mucins.txt
mucin_T01t,mucin,0.07529,diffusion_coefficients_mucins.txt
mucin_T01w,mucin,0.11755,diffusion_coefficients_mucins.txt
mucin_T01v,mucin,0.08279,diffusion_coefficients_mucins.txt
mucin_T020,mucin,0.12223,diffusion_coefficients_mucins.txt
mucin_T01x,mucin,0.05355,diffusion_coefficients_mucins.txt
mucin_T024,mucin,0.03349,diffusion_coefficients_mucins.txt
mucin_T023,mucin,0.07077,diffusion_coefficients_mucins.txt
mucin_T026,mucin,0.11263,diffusion_coefficients_mucins.txt
mucin_T022,mucin,0.0657,diffusion_coefficients_mucins.txt
mucin_T025,mucin,0.06672,diffusion_coefficients_mucins.txt
mucin_T02b,mucin,0.08441,diffusion_coefficients_mucins.txt
mucin_T02d,mucin,0.09462,diffusion_coefficients_mucins.txt
mucin_T029,mucin,0.07568,diffusion_coefficients_mucins.txt
mucin_T02e,mucin,0.12525,diffusion_coefficients_mucins.txt
mucin_T02a,mucin,0.0378,diffusion_coefficients_mucins.txt
mucin_T028,mucin,0.08421,diffusion_coefficients_mucins.txt
mucin_T02g,mucin,0.10795,diffusion_coefficients_mucins.txt
mucin_T02h,mucin,0.09096,diffusion_coefficients_mucins.txt
mucin_T02f,mucin,0.06619,diffusion_coefficients_mucins.txt
mucin_T02l,mucin,0.09704,diffusion_coefficients_mucins.txt
mucin_T02k,mucin,0.04417,diffusion_coefficients_mucins.txt
mucin_T01z,mucin,0.12996,diffusion_coefficients_mucins.txt
mucin_T01y,mucin,0.15119,diffusion_coefficients_mucins.txt
mucin_T02p,mucin,0.11045,diffusion_coefficients_mucins.txt
mucin_T02o,mucin,0.04562,diffusion_coefficients_mucins.txt
mucin_T02u,mucin,0.06806,diffusion_coefficients_mucins.txt
mucin_T02w,mucin,0.0753,diffusion_coefficients_mucins.txt
mucin_T035,mucin,0.11909,diffusion_coefficients_mucins.txt
mucin_T031,mucin,0.03097,diffusion_coefficients_mucins.txt
mucin_T02j,mucin,0.07494,diffusion_coefficients_mucins.txt
mucin_T02t,mucin,0.11622,diffusion_coefficients_mucins.txt
mucin_T02m,mucin,0.09056,diffusion_coefficients_mucins.txt
mucin_T02n,mucin,0.12116,diffusion_coefficients_mucins.txt
mucin_T034,mucin,0.08689,diffusion_coefficients_mucins.txt
mucin_T02s,mucin,0.06332,diffusion_coefficients_mucins.txt
mucin_T036,mucin,0.11317,diffusion_coefficients_mucins.txt
mucin_T02y,mucin,0.09919,diffusion_coefficients_mucins.txt
mucin_T02z,mucin,0.07771,diffusion_coefficients_mucins.txt
mucin_T02q,mucin,0.14087,diffusion_coefficients_mucins.txt
mucin_T032,mucin,0.0721,diffusion_coefficients_mucins.txt
mucin_T037,mucin,0.0908,diffusion_coefficients_mucins.txt
mucin_T030,mucin,0.11489,diffusion_coefficients_mucins.txt
